iter	Logloss
0	0.6054328947
1	0.5497304116
2	0.5106778098
3	0.4818215367
4	0.453142678
5	0.4370485081
6	0.4241707237
7	0.4099830614
8	0.4019479246
9	0.3943433814
10	0.3848127357
11	0.375780332
12	0.3695126482
13	0.3650673444
14	0.3604950694
15	0.3536334351
16	0.3506394571
17	0.3481354068
18	0.3453201423
19	0.3411043635
20	0.3382071289
21	0.3359285191
22	0.3345068784
23	0.3317619677
24	0.3302511555
25	0.3280353507
26	0.3265817628
27	0.3235439762
28	0.3218367633
29	0.319843745
30	0.3186436069
31	0.3173619077
32	0.3160330675
33	0.3147294701
34	0.3121727479
35	0.3102019592
36	0.308835789
37	0.3063911559
38	0.3048406827
39	0.3038903477
40	0.3029970064
41	0.3017761007
42	0.2994605194
43	0.2985090779
44	0.297260029
45	0.2963159368
46	0.2949687794
47	0.2942597799
48	0.2929456274
49	0.2918113232
