iter	Passed	Remaining
0	25	2552
1	49	2416
2	71	2302
3	95	2300
4	122	2336
5	151	2367
6	179	2379
7	206	2377
8	235	2380
9	265	2392
10	293	2376
11	320	2351
12	349	2336
13	377	2319
14	406	2300
15	433	2274
16	462	2260
17	493	2246
18	522	2227
19	550	2203
20	578	2175
21	604	2143
22	631	2112
23	660	2093
24	688	2064
25	715	2037
26	742	2008
27	770	1980
28	798	1954
29	826	1928
30	853	1899
31	879	1869
32	906	1839
33	934	1813
34	963	1789
35	991	1762
36	1019	1735
37	1046	1707
38	1074	1680
39	1101	1652
40	1129	1625
41	1155	1595
42	1181	1566
43	1208	1538
44	1233	1507
45	1262	1482
46	1289	1454
47	1315	1424
48	1341	1396
49	1368	1368
50	1396	1342
51	1422	1313
52	1448	1284
53	1474	1256
54	1501	1228
55	1528	1201
56	1556	1174
57	1586	1148
58	1614	1122
59	1643	1095
60	1673	1069
61	1699	1041
62	1726	1014
63	1752	985
64	1779	958
65	1808	931
66	1836	904
67	1862	876
68	1889	848
69	1916	821
70	1943	793
71	1971	766
72	1997	738
73	2024	711
74	2051	683
75	2077	656
76	2106	629
77	2132	601
78	2158	573
79	2185	546
80	2213	519
81	2241	492
82	2270	465
83	2297	437
84	2329	411
85	2361	384
86	2390	357
87	2417	329
88	2443	302
89	2470	274
90	2497	247
91	2525	219
92	2550	192
93	2578	164
94	2606	137
95	2639	109
96	2672	82
97	2708	55
98	2744	27
99	2788	0
